,99.0,99.7
PB1,38164.3780006,55571.9063259
PB2,10450.1977311,15057.2887821
PB3,71668.5416432,104280.599332
PB4,14552250.0224,21041845.2897
PB5,32781187.8295,47244419.0893
PB6,18013859.2069,25936720.581
PB7,171274943.556,248207448.602
PB8,1382980.51025,1994775.48827
PB9,39887.1698165,66530.6070917
PB10,135766.158583,208134.423365
PB11,247779.789907,381086.818454
PB12,2062934.93848,3107006.12148
PB13,1835338.6404,2703524.32648
PB14,11998377.6313,17632386.4022
PB15,36625536.1489,53243362.8654
PB16,1537640.41311,2193818.66944
PB17,46079.6699979,67097.5196979
PB18,234074.851737,340841.025466
PB19,2712625.19993,3922141.40271
PB20,2114721.36044,2900330.82695
PB21,1081058.90336,1587638.07414
PB22,34385449.2926,50464076.3598
PB23,2419438.41844,3555504.79194
PB24,8148203.29285,11767502.4298
PB25,382170.448423,556485.955567
PB26,15265.7512002,22228.7625304
PB27,1618818.9079,2483350.79985
PB28,12185573.9639,17672662.2147
PB29,170467.555069,248221.181589
PB30,27221.5282214,38439.4769666
PB31,373654.891139,546431.687029
PB32,53768459.031,78090623.5884
PB33,15556481.1107,22552441.4793
PB34,39200159.3582,56249817.5879
PB35,121572.580084,170308.349002
PB36,150113.220136,218582.831549
PB37,1361324.10859,1893713.0771
PB38,4218260.91162,6137640.28194
PB39,81514.1090942,119896.384471
PB40,5426726.00922,7914534.28607
PB41,42449300.2672,61543391.9814
PB42,10514754.4311,15698610.2194
PB43,16625444.5181,24434087.284
PB44,8156416.59714,12278087.1776
PB45,48018485.0537,70005405.9632
PB46,15906746.8674,22848007.9727
PB47,641900.586592,925708.946152
PB48,17091897.4297,24737463.7074
PB49,4286939.43885,6311798.3902
PB50,62637329.362,90920306.8046
PB51,6076096.04513,8865358.57316
PB52,2544.29186671,3704.79375506
PB53,2844893.23265,4073802.96259
PB54,780057.345765,1094912.83394
PB55,2394581.90412,3257490.70645
PB56,119575267.756,174938672.233
PB57,23351734.9257,33868384.2954
PB58,47880.779928,69471.7090348
PB59,96240093.9152,138988031.977
PB60,2201256.74722,3091064.40399
PB61,2837247.64552,4118082.31319
PB62,12721.4593335,18523.9687753
PB63,15286.123068,22463.0550806
PB64,1540959.00249,2392108.80004
PB65,10627673.7833,16023057.5047
PB66,6569896.33309,9467577.35468
PB67,212466.498062,346810.805701
PB68,922739.754083,1328981.26828
PB69,44789.7628135,62160.9484476
PB70,9333734.05837,13503674.7369
PB71,610964.278524,893278.340964
PB72,530894.04267,769934.674574
PB73,16825842.3677,24254590.845
PB74,22251522.5723,32290786.398
