,$\nu = 50$ bounds,$\nu = 50$ cons
PB1,3495.21621516,3490.89787807
PB2,961.643291441,959.111316773
PB3,6687.9726002,6679.7087182
PB4,1332360.76969,1332335.30664
PB5,3032224.22393,3032191.85251
PB6,1652067.49203,1652099.48208
PB7,15556290.7125,15556258.1935
PB8,127544.168823,127535.987257
PB9,3431.48933691,3449.94582575
PB10,11188.6424373,11175.9527381
PB11,20920.2795267,20923.1567256
PB12,173322.172315,173384.253132
PB13,167482.737643,167312.980393
PB14,1071799.1008,1071820.91651
PB15,3143137.92197,3143089.05488
PB16,160364.358516,160402.887637
PB17,4213.56151036,4215.01877598
PB18,21526.2311309,21529.2645924
PB19,247950.955783,247928.587611
PB20,222811.878584,222830.613026
PB21,100926.685933,100888.126522
PB22,3086664.54169,3086603.88561
PB23,211547.301072,211606.316565
PB24,744378.884247,744353.273682
PB25,35124.8120973,35151.8498236
PB26,1399.89512304,1396.69421251
PB27,161889.030313,161861.839429
PB28,1120423.43069,1120384.89403
PB29,15658.4570117,15678.1539415
PB30,2717.85708098,2742.82830973
PB31,39019.5245525,39022.2738763
PB32,4943288.19327,4943316.37369
PB33,1411092.25834,1411013.38933
PB34,3672459.92875,3672523.85657
PB35,11967.2991157,11968.6295588
PB36,13817.5360409,13806.0256529
PB37,145619.066364,145596.704276
PB38,378198.178394,378175.145526
PB39,7452.67438981,7476.27517027
PB40,490268.066814,490288.367713
PB41,3882117.6666,3882234.51166
PB42,926080.203297,926093.721788
PB43,1474101.43056,1474136.50175
PB44,687192.802624,687197.022981
PB45,4351755.15257,4351748.79886
PB46,1476983.46568,1476988.47627
PB47,62600.7255829,62605.624332
PB48,1444462.10311,1444437.56758
PB49,387761.307902,387773.100842
PB50,5905071.95156,5905043.87321
PB51,532933.431585,532962.56577
PB52,232.673987189,232.038462442
PB53,298789.660499,298817.709712
PB54,75606.7649361,75608.9778681
PB55,255192.389162,255255.403923
PB56,10926923.3885,10926871.973
PB57,2118076.68239,2118130.31086
PB58,4392.23365401,4386.89243455
PB59,8866369.95733,8866289.12638
PB60,228372.448489,228396.354855
PB61,304880.780633,304892.992053
PB62,1174.17457686,1170.3468796
PB63,1328.09565224,1331.82677678
PB64,155592.416604,155575.247695
PB65,998916.379716,998846.974608
PB66,596330.904829,596357.878167
PB67,15147.9378152,15133.690572
PB68,102317.792635,102320.036837
PB69,4742.95857055,4742.87538634
PB70,847777.672164,847803.029481
PB71,52017.3926876,52026.8276218
PB72,53198.6631866,53201.4295113
PB73,1666317.3349,1666404.71527
PB74,1985268.51505,1985236.15536
