,$\nu = 6$ bounds
PB1,98918.5827407
PB2,24761.9103268
PB3,188791.569606
PB4,41725755.9091
PB5,100206017.486
PB6,47721042.8362
PB7,465962693.289
PB8,4049428.74975
PB9,186115.103794
PB10,417008.964701
PB11,920056.587064
PB12,7743837.72805
PB13,6302649.98259
PB14,41813197.7848
PB15,103610702.443
PB16,4474519.6783
PB17,119311.049484
PB18,675619.220508
PB19,8624710.80626
PB20,6944031.53708
PB21,2752023.75978
PB22,90133563.2465
PB23,7835444.07326
PB24,24447200.1031
PB25,1108805.60958
PB26,39541.1745835
PB27,5519293.18069
PB28,30293362.425
PB29,494525.610492
PB30,66237.249792
PB31,1039816.14269
PB32,154535228.152
PB33,49177812.7019
PB34,104608832.743
PB35,352673.143641
PB36,427524.806728
PB37,3380510.082
PB38,13392731.5429
PB39,203945.487894
PB40,13693163.6229
PB41,122341874.34
PB42,27605694.8647
PB43,53399741.1605
PB44,24076604.0265
PB45,144007283.542
PB46,42028482.5131
PB47,1939518.31035
PB48,48737746.6061
PB49,12258046.0865
PB50,164674169.057
PB51,19949440.873
PB52,6586.61625331
PB53,7156459.29742
PB54,1889563.6132
PB55,7016797.11399
PB56,311984223.451
PB57,72003550.0587
PB58,126309.179976
PB59,276939247.734
PB60,5455941.5895
PB61,8295070.62981
PB62,36595.3206147
PB63,49352.4529055
PB64,5829826.19463
PB65,34175172.0876
PB66,22416114.0434
PB67,838971.874212
PB68,2311132.31339
PB69,116169.822712
PB70,28320977.836
PB71,1828403.69788
PB72,1785420.55419
PB73,50339686.4597
PB74,59567462.5716
