,$\nu = 6$ bounds
PB1,2995.69195509
PB2,827.310426637
PB3,5796.04295085
PB4,1146701.56783
PB5,2561676.73088
PB6,1406066.38048
PB7,13273171.5217
PB8,108547.989547
PB9,2735.55448693
PB10,9524.21575638
PB11,16745.498458
PB12,143943.373513
PB13,135717.809007
PB14,872550.604154
PB15,2766950.35718
PB16,125744.25688
PB17,3618.48807462
PB18,18592.1997059
PB19,204412.943092
PB20,172472.243802
PB21,83480.8738544
PB22,2654302.30551
PB23,177276.170502
PB24,636592.492153
PB25,30077.9527712
PB26,1199.0190709
PB27,124883.846806
PB28,974497.858267
PB29,13543.2166451
PB30,2280.8797423
PB31,30167.2407652
PB32,4262797.63368
PB33,1180452.87551
PB34,3093889.18519
PB35,10014.6161391
PB36,11911.392563
PB37,119949.194438
PB38,321532.086688
PB39,6443.26493553
PB40,431906.336954
PB41,3347029.38078
PB42,827126.698947
PB43,1233389.31784
PB44,570701.486144
PB45,3723342.82582
PB46,1254488.27148
PB47,51297.4970789
PB48,1247493.76258
PB49,335148.694738
PB50,5066653.99205
PB51,437148.912794
PB52,199.716838588
PB53,244562.119402
PB54,66064.1703738
PB55,204349.758005
PB56,9396956.61536
PB57,1792908.83892
PB58,3754.39842543
PB59,7604164.76214
PB60,182068.516118
PB61,231229.428174
PB62,1011.3170045
PB63,1117.87313417
PB64,120361.533059
PB65,846005.680719
PB66,485797.574019
PB67,12811.6559109
PB68,78415.1177616
PB69,3917.81211056
PB70,715766.324453
PB71,45857.0189268
PB72,40897.6661227
PB73,1368077.5564
PB74,1694490.3531
