,$\nu = 2$ bounds
PB1,3828.67983835
PB2,1772.78436582
PB3,5739.30499833
PB4,1117474.67053
PB5,2487797.58732
PB6,1046997.32311
PB7,15364516.3125
PB8,127880.775384
PB9,3964.07110536
PB10,13370.041743
PB11,22706.1161921
PB12,158371.982227
PB13,146068.185972
PB14,871101.111813
PB15,2419467.20886
PB16,119048.27308
PB17,4186.71112657
PB18,26823.658902
PB19,231247.713685
PB20,125094.690621
PB21,80443.2641565
PB22,2320476.93579
PB23,208838.864463
PB24,698130.377674
PB25,42476.9003738
PB26,1689.13311651
PB27,137189.045422
PB28,704582.410261
PB29,19176.5245384
PB30,3644.94443272
PB31,36029.1025078
PB32,4674311.0279
PB33,1122406.6477
PB34,2637257.97542
PB35,13101.4901208
PB36,16538.3157175
PB37,109333.088291
PB38,366325.022849
PB39,4958.97700077
PB40,324093.549349
PB41,3515266.42486
PB42,923256.523588
PB43,1221623.46886
PB44,571812.154283
PB45,3944599.0071
PB46,904428.157209
PB47,61499.0665044
PB48,972064.430825
PB49,387504.35959
PB50,5763364.06515
PB51,472680.69676
PB52,1328.57756436
PB53,213851.589225
PB54,68276.1027802
PB55,216090.640042
PB56,10401161.5015
PB57,1736326.70025
PB58,4234.58944759
PB59,8740907.47748
PB60,177035.345457
PB61,219650.86856
PB62,1015.98891756
PB63,1340.71336281
PB64,114084.956119
PB65,883536.549917
PB66,517271.20172
PB67,18515.823609
PB68,74340.8894292
PB69,5017.56296097
PB70,769101.007944
PB71,58888.8163002
PB72,48886.7450126
PB73,1262461.16813
PB74,1348718.80713
