,$\nu = 6$ bounds,$\nu = 6$ cons
PB1,201277.834558,201331.323654
PB2,221482.142607,221121.895819
PB3,293462.025037,293739.019442
PB4,40135536.8644,40134798.4809
PB5,93379131.8298,93378732.8764
PB6,41890686.5819,41891049.4045
PB7,452227738.395,452228493.546
PB8,3808551.5767,3808707.80126
PB9,254978.360256,255427.061182
PB10,473723.095369,473590.744767
PB11,899812.679321,900016.893468
PB12,6783798.10881,6783966.75822
PB13,5845145.19813,5845490.14051
PB14,38229060.8161,38221002.9913
PB15,94659201.339,94659369.9736
PB16,3714902.84544,3715633.32241
PB17,203198.960609,203058.363343
PB18,657292.152215,657268.766834
PB19,8075609.72424,8075529.48277
PB20,5654523.83787,5653849.09125
PB21,2290224.32531,2290954.59193
PB22,80269177.5133,80268012.7901
PB23,7306595.56753,7307010.57194
PB24,22428803.2427,22429225.3083
PB25,1024334.74078,1024633.96053
PB26,211124.250944,210687.116537
PB27,4970374.58009,4973236.94212
PB28,26950196.218,26950126.3935
PB29,507169.76246,506977.963028
PB30,224843.168176,224533.375476
PB31,906315.001033,906631.482731
PB32,147380287.55,147389510.382
PB33,44895079.5337,44898835.019
PB34,95166531.4727,95154269.4448
PB35,392949.266818,392432.116342
PB36,460404.716963,460209.294128
PB37,2869987.41308,2869503.75419
PB38,12123411.7201,12118503.2641
PB39,223787.039616,223129.5545
PB40,12002712.5796,12003112.5873
PB41,117712942.25,117714636.798
PB42,25318163.8605,25317018.1639
PB43,50717797.5662,50719618.3113
PB44,20815722.0265,20815526.9016
PB45,137656504.525,137653050.983
PB46,36271318.4314,36271727.0033
PB47,1796737.26556,1797317.24371
PB48,44307576.1467,44303830.2761
PB49,11135871.3256,11136846.0275
PB50,157923429.962,157938337.876
PB51,18232019.2091,18231402.1117
PB52,217999.466364,218916.472197
PB53,6089229.2763,6089540.55257
PB54,1570035.52638,1569730.89682
PB55,6391251.66,6391040.14568
PB56,286694077.204,286695222.352
PB57,66861109.6903,66861446.989
PB58,203185.967,203080.254407
PB59,270590053.903,270594145.893
PB60,4865443.13774,4865944.93318
PB61,6961365.94458,6960991.50292
PB62,231989.450873,232481.731188
PB63,235404.80944,234700.182333
PB64,4362398.11265,4361206.72332
PB65,30136960.8194,30131469.1487
PB66,19922989.8095,19921600.918
PB67,817236.515911,817044.978401
PB68,1929466.43956,1929044.8229
PB69,216397.212932,216032.162525
PB70,26498788.3807,26498995.6305
PB71,1613331.24827,1613682.98747
PB72,1589953.35666,1589245.96052
PB73,47368490.4177,47369566.4629
PB74,53426501.0169,53427008.1581
