,AAI,AEX,AF,AGN,AH,AHA,AI,AKZ,AL1,ASL,ASM,ATO,AVH,BAM,BAR,BB,BEK,BN,BNP,BOS,BXF,CA,CAP,CDI,CNP,CO,COL,CS,CSM,DEL,DG,DSM,DSY,EAD,EF,EN,EO,EX,FCE,FG,FP,FR,FTE,FUR,GBL,GLE,HEI,HEY,HO,IE,IHC,ING,KBC,KER,KPN,MC,ML,MMB,MMT,MOB,OR,ORD,PHI,PNL,PUB,RD,REN,RF,RI,RND,RNO,SAN,SGO,SOL,STM,SU,SW,TEC,TF1,TMS,UCB,UG,UL,UMC,UN,VIE,VK,VPK,WHV,WKL
PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB2,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB3,0.0,-1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB4,0.0,116200.0,0.0,0.0,0.0,0.0,-200.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46390.0,0.0,-112.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB5,2913.25,200149.546,62689.56,1251773.09,220357.6,0.0,521.7448,34769.11,0.0,51224.8981,35370.88,60.38,388.16,318780.72,-42.44,0.0,-3537.92,56730.05,2678.1,25288.18,-179.556,122723.75,-982.15,96.69,0.0,36.33,2693.12,74003.61,-9685.0086,43738.51,3215.75,78706.22,350.4,23327.87,0.0,0.0,0.0,27870.74,82409.4,0.0,27721.35,-476.13,4090.15,59267.71,-1347.73,46119.35,27418.78,29153.67,-303.25,0.0,75091.7,1884803.0,13471.1,50.46,650400.8095,715.01,240.0,-22.72,0.0,-1040.68,-150.9,29041.67,-30836.12,1695977.28,0.0,1296232.93,-106786.9774,53.1,0.0,82388.64,758.85,33753.89,32883.18,40520.98,-35159.6,849.0,45.12,322.46,0.0,0.0,4651.92,8907.06,2564.61,-8852.76,157406.06,-174.95,23508.6628,3601.46,50772.03,-175655.6
PB6,0.0,-50902.05,0.0,21392.0,0.0,0.0,497.5827,0.0,0.0,-28527.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67260.0,-78109.4,0.0,0.0,1438.56,5190.82,0.0,0.0,0.0,0.0,14012.51,0.0,0.0,0.0,0.0,0.0,31225.95,0.0,0.0,5459.99,3834.6,-61209.92,0.0,-70599.21,1246.02,4244.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-293.0,-194700.7,0.0,-1127.85,26730.1,2387.16,1576.5,0.0,0.0,0.0,0.0,0.0,-80040.0,0.0,0.0,2558.0,0.0,0.0,0.0,0.0,-43072.0,-25463.88,1372.6,0.0,30071.7,0.0,0.0,0.0,0.0,0.0,0.0,22410.4,0.0,0.0,-81240.0,20247.5,0.0,0.0,0.0,0.0
PB7,0.0,-2157039.19,1522.9,1073.65,8767.9,-8713.46,-115792.8315,624.16,0.0,-12244.33,0.0,-12314.76,101.4,-51948.0,0.0,0.0,25929.58,202.27,-18322.838,0.0,90.0,189358.86,-23285.995,-1020.84,0.0,1855.92,-332.4,-248191.947,-1523.0,0.0,2554.839,142.6,-38386.7,27197.302,-609.8,-54747.19,-23.2,40938.58,-463293.67,0.0,213.88,-12968.55,-386144.61,0.0,-2782.9,1123.404,0.0,0.0,10426.96,0.0,-1438.97,7964.0,39588.29,-14243.25,1011636.197,-939.46,-45678.58,409.62,0.0,0.0,-1498.44,0.0,-134.18,0.0,13188.04,-56079.65,0.0,-19090.0,-47.91,1402.1,14287.52,-938.712,-36201.21,-2773.65,0.0,-4076.45,361.5,-67084.579,0.0,550.9,157.63,27948.61,-64.91,-66433.73,-1289.58,959.5,180808.694,0.0,0.0,0.0
PB8,0.0,19600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7972.0,0.0,0.0,442.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3323.065,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0,0.0,5336.1,401.64,0.0,0.0,0.0,0.0,0.0,0.0,-439.86,0.0,9253.2,0.0,0.0,0.0,0.0,0.0,0.0,-9604.65,0.0,0.0,0.0,19577.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6820.8,0.0,0.0,0.0,0.0,0.0
PB9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.87,0.0,-5719.97,0.0,5353.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-552.75,0.0,0.0,-1998.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.09,0.0,0.0,0.0,0.0,0.0,0.0,63.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1725.32,0.0,0.0,0.0,0.0,0.0,0.0,2663.49,0.0,0.0,-966.65,0.0,0.0,0.0,0.0,0.0,0.0
PB10,0.0,304.62,0.0,2860.18,36.1,0.0,-93.2356,0.0,0.0,0.0,0.0,0.0,-35.62,0.0,0.0,0.0,0.0,0.0,736.08,64.35,0.0,0.0,0.0,0.0,0.0,0.0,16.53,192.5,0.0,-459.04,0.0,0.0,0.0,0.0,0.0,-243.76,0.0,0.0,-224.412,0.0,0.0,-543.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38764.3,-505.52,0.0,5331.174,0.0,-25.79,0.0,0.0,-1184.7,0.0,0.0,-271.28,0.0,0.0,4527.16,0.0,0.0,0.0,0.0,61.95,128.58,0.0,-3026.35,0.0,0.0,0.0,0.0,0.0,0.0,223.42,0.0,0.0,38881.08,0.0,0.0,0.0,0.0,445.65,0.0
PB11,-515.5,-1322.081,-1304.9,66120.53,9324.5,16.82,140.3684,-1051.51,0.0,1759.13,189.29,8.9,-883.16,6727.94,-37.99,33.2928,-2447.95,543.87,3935.5,-1650.91,0.0,1834.61,-38.08,0.0,-112.5,2700.83,841.67,3789.05,0.0,-3175.81,813.56,3017.39,8.65,1983.31,286.29,-10235.36,-257.44,485.68,-17.214,0.0,587.23,1.67,3065.13,19209.41,1171.8,300.14,-23.07,-74.4,0.0,0.0,2206.0,102822.38,2500.43,0.0,26965.0104,234.12,304.25,0.0,0.0,-533.48,2.36,1335.71,3657.37,305.61,0.0,21248.62,9498.365,0.0,0.0,1107.38,73.56,2195.54,158.31,243.04,0.0,-679.82,0.0,629.88,0.0,-5225.8,1693.12,386.78,303.27,-2167.1,1111.11,-489.44,5708.6094,357.74,-522.41,433.2
PB12,-1202.06,36438.35,35833.49,730249.52,-192772.47,0.0,644.9757,-22913.34,0.0,11853.82,33057.53,0.0,0.0,340893.84,0.0,0.0,0.0,-15193.08,-141.12,24686.06,0.0,2844.63,0.0,0.0,0.0,2564.48,-159.48,-8353.91,-17872.0252,0.0,-3814.45,-132349.35,0.0,249.65,197.2,0.0,0.0,6871.94,87.78,0.0,-2095.49,0.0,-3642.29,55479.62,0.0,4361.56,6145.15,36693.65,0.0,-3618.0,68963.45,441501.66,713.9,0.0,914478.3938,200.76,-9396.54,0.0,0.0,0.0,0.0,-24615.8,-276510.52,210622.32,-7491.85,449459.02,-79866.8534,0.0,0.0,86443.66,86.43,9860.73,-3235.4,-2760.65,-731.04,-975.75,0.0,0.0,0.0,0.0,0.0,-7012.2,254.2,0.0,-177631.67,-187.95,0.0,-10683.1,2824.3,-11935.08
PB13,0.0,2245.16,110013.8,728748.03,45199.02,0.0,0.0,-2540.16,0.0,6972.0377,0.0,0.0,0.0,256997.29,0.0,0.0,0.0,0.0,0.0,1554.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13115.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20059.0,0.0,0.0,5177.1,594.11,0.0,0.0,55138.55,326653.63,0.0,0.0,788024.268,0.0,0.0,0.0,0.0,0.0,0.0,3386.6,60656.33,40522.48,0.0,536452.4,4842.0788,0.0,0.0,-322.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1387.76,0.0,-44203.01,0.0,0.0,0.0,88.64,-527.16
PB14,12569.61,153403.37,129754.98,2407498.39,171352.28,0.0,0.0,50116.72,0.0,60679.1894,46463.8,0.0,0.0,703108.08,0.0,0.0,0.0,0.0,0.0,41776.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5675.4514,5324.89,0.0,-4645.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93361.16,-466.05,0.0,27066.29,29564.36,0.0,0.0,126344.72,2594533.1,548.23,0.0,1379322.72,0.0,0.0,0.0,0.0,393.8,0.0,-74784.68,-26593.95,448492.52,0.0,1377198.45,339.3812,0.0,0.0,194497.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4725.27,0.0,23769.17,0.0,0.0,1846.56,40472.11,-7779.2
PB15,2782.3,-1208971.23,29399.0,1313305.13,-23337.63,40966.2,-86869.7262,-12350.37,0.0,-5454.54,-1360.7,8.45,288.95,341733.65,-159.27,0.0,-656.6,-169336.7,32737.24,38891.7,0.0,12478.67,1788.9,0.0,0.0,10771.32,0.0,50765.09,955.15,-1372.845,103492.09,122071.97,-1194.4,35525.95,-2180.1,33863.68,538.1,101954.1,-48368.824,0.0,291394.42,-140.41,88807.08,141339.18,-1250.91,60942.81,162.74,7916.42,-1059.2,0.0,62734.43,1084838.71,2458.13,-1131.26,292745.6951,2680.14,-79627.72,-6604.2,0.0,-633.92,65207.31,8598.0,548108.31,-121702.98,0.0,1342202.27,-8755.362,0.0,-2201.34,33973.45,32389.63,-21522.82,3267.19,-8121.19,-5497.0,14393.05,-89.1,-3467.19,1251.81,0.0,1538.0,131575.18,3630.68,-771.52,-106313.14,-2151.25,259148.0946,769.43,11373.11,0.0
PB16,0.0,77464.69,0.0,0.0,0.0,-39829.4,0.0,0.0,0.0,13950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51618.0,31468.5,0.0,0.0,18767.5,2143.26,0.0,0.0,0.0,0.0,-157269.5,0.0,0.0,0.0,0.0,0.0,-44016.0,-15776.0,0.0,0.0,152226.0,1073.678,0.0,43638.03,0.0,21534.4,0.0,0.0,235786.75,27018.0,0.0,0.0,0.0,0.0,-564776.9,13068.0,-9971.0,43596.0,-2443.65,-8084.0,0.0,0.0,0.0,-42909.06,0.0,-502018.38,0.0,1212.0,-447280.97,-875.0,0.0,-2284.0,0.0,48379.5,-45370.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-348755.61,-592037.24,0.0,0.0,0.0,0.0
PB17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB19,-64.62,62882.988,12367.45,111065.57,25473.11,675.28,396.8457,1772.9,0.0,5819.0308,136.53,-0.1,82.12,46237.1,15.0,0.0,-407.92,506.75,-100.425,2240.16,-28.201,510.53,53.24,53.86,0.0,279.62,148.63,9860.4,-767.44,771.705,-514.99,2926.68,6.1,1422.49,0.0,-1872.08,-810.68,344.5,1722.195,0.0,2579.01,-189.84,4641.9,12631.23,2633.88,1745.905,1794.58,11822.07,131.51,0.0,20320.48,160100.56,-1728.62,104.66,47276.5758,621.228,126.45,14.66,0.0,136.4,618.41,-5516.43,5345.65,23408.55,-254.81,209022.65,4651.0148,0.0,532.08,10315.03,560.12,701.0,-232.7,1469.48,-169.67,-1225.96,0.0,46.28,0.0,0.0,194.3,116.52,2735.68,244.1,354.64,175.65,6563.265,-866.79,-70.2,143.76
PB20,-39084.54,79986.809,38579.1,-383642.55,-167156.15,-5345.88,1900.5639,-37433.05,0.0,-22125.03,1547.03,0.0,-7936.11,0.0,0.0,0.0,-2438.95,-65265.47,-107799.43,-26150.32,-163.212,-46645.63,-15800.34,0.0,-22817.65,0.0,-5083.08,15058.17,0.0,0.0,-15852.57,7893.81,-3230.98,-18617.05,-7757.25,-3500.43,0.0,-6061.32,3319.338,0.0,20804.06,0.0,-61248.76,0.0,4302.11,-66590.6,-48979.71,0.0,-1170.7,0.0,-68436.37,-533106.96,-30571.39,0.0,-295548.1174,-4325.09,-13152.38,0.0,0.0,0.0,-10117.85,0.0,-209001.45,0.0,0.0,-70248.24,-70386.2544,0.0,0.0,-33703.11,-11961.69,-33268.55,-55138.15,672.18,16311.6,-63234.52,-5509.04,2297.57,0.0,0.0,0.0,-23069.38,-23686.92,-8950.49,-294366.23,-40212.74,0.0,-30113.14,-14046.65,-23822.37
PB21,0.0,67800.0,0.0,0.0,0.0,548.8,138.5968,0.0,0.0,0.0,0.0,-299.25,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,0.0,0.0,1277.55,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,1121.0,811.1,0.0,0.0,0.0,-9761.134,0.0,15698.48,0.0,133696.75,0.0,0.0,-63565.86,0.0,0.0,0.0,0.0,0.0,18712.05,0.0,0.0,0.0,636.84,653.25,0.0,0.0,0.0,8036.0,0.0,-1321.32,0.0,0.0,13097.08,0.0,0.0,0.0,0.0,0.0,2340.59,0.0,0.0,0.0,-420.77,0.0,0.0,0.0,0.0,0.0,2590.0,0.0,0.0,1922.68,0.0,0.0,0.0,0.0,0.0
PB22,0.0,0.0,28885.5,0.0,0.0,-45990.0,4533.648,0.0,0.0,-3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21910.0,-87425.0,0.0,0.0,316071.5,0.0,0.0,0.0,6857.5,0.0,0.0,0.0,0.0,-6923.9,-1299.0,0.0,110712.5,0.0,0.0,0.0,0.0,-137828.754,0.0,422908.0,0.0,0.0,0.0,0.0,-27084.0,-2299.3,0.0,0.0,0.0,0.0,-471645.0,0.0,0.0,1770.8,12800.5,0.0,0.0,0.0,0.0,0.0,0.0,68325.0,0.0,0.0,114805.0,0.0,0.0,0.0,0.0,0.0,10636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5713.0,0.0,0.0,0.0,0.0,0.0
PB23,0.0,95403.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
